,Total samplesLAI,Filtered samplesLAI,Filtered samples (%)LAI,Total samples_fCOVER,Filtered samples_fCOVER,Filtered samples (%)_fCOVER,Total samples,Filtered samples,Filtered samples (%)
evergreenForest,3427.0,3.0,0.09,3427.0,30.0,0.88,3427.0,16.0,0.47000000000000003
grasslandHerbaceous,2101.0,1.0,0.05,2101.0,4.0,0.19,2101.0,3.0,0.13999999999999999
shrubScrub,1704.0,0.0,0.0,1704.0,1.0,0.06,1704.0,1.0,0.06
mixedForest,639.0,1.0,0.16,639.0,1.0,0.16,639.0,1.0,0.16
sedgeHerbaceous,126.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0
emergentHerbaceousWetlands,79.0,0.0,0.0,79.0,0.0,0.0,79.0,0.0,0.0
deciduousForest,3923.0,19.0,0.48,3923.0,28.0,0.7100000000000001,3923.0,31.0,0.79
pastureHay,934.0,16.0,1.71,934.0,55.0,5.89,934.0,48.0,5.140000000000001
cultivatedCrops,702.0,2.0,0.27999999999999997,702.0,16.0,2.2800000000000002,702.0,16.0,2.2800000000000002
woodyWetlands,326.0,2.0,0.61,326.0,2.0,0.61,326.0,2.0,0.61
dwarfScrub,180.0,0.0,0.0,180.0,0.0,0.0,180.0,0.0,0.0
total,14141.0,44.0,0.31,14141.0,137.0,0.97,14141.0,118.0,0.83
