,Site,Network,#ESUs,Start Date,End Date,#sample,NLCD_domin,NLCD (#sample/NLCD)
4,PeaceRiver2019,CCRS,3,2019-08-12,2019-08-12,3,DF,DF (3)
0,YellowKnife2019,CCRS,3,2019-08-11,2019-08-12,3,EF,EF (3)
2,Merbleue2019,CCRS,3,2019-09-18,2019-09-18,3,EF,EF (2)#DF (1)
5,HayRiver2019,CCRS,28,2019-09-05,2019-09-07,28,EF,EF (27)#MF (1)
6,Geraldton2020,CCRS,3,2020-07-21,2020-07-21,3,EF,EF (2)#DF (1)
7,NovaScotia2021,CCRS,3,2021-08-26,2021-08-27,3,EF,EF (2)#DF (1)
8,TurkeyPoint2019,CCRS,3,2019-06-27,2019-06-27,3,EF,EF (2)#DF (1)
9,VancouverIsland2019,CCRS,3,2019-08-09,2019-08-10,3,EF,EF (3)
1,MtPolley2019,CCRS,3,2019-08-14,2019-08-15,3,MF,MF (2)#EF (1)
3,Labrador2019,CCRS,12,2019-07-24,2019-07-31,12,MF,MF (6)#EF (6)
26,STER,NEON,19,2014-04-01,2022-09-08,357,CC,CC (357)
49,KONA,NEON,24,2017-06-22,2022-10-27,221,CC,CC (221)
25,STEI,NEON,23,2015-07-08,2022-06-21,265,DF,DF (259)#MF (3)#WW (3)
44,GRSM,NEON,23,2016-04-06,2022-10-25,323,DF,DF (319)#EF (4)
37,CLBJ,NEON,25,2016-04-14,2022-11-17,348,DF,DF (328)#GH (20)
36,BONA,NEON,25,2017-06-16,2022-09-12,181,DF,DF (93)#EF (77)#SS (6)#MF (3)#WW (2)
35,BLAN,NEON,22,2015-04-29,2022-09-26,369,DF,DF (126)#SS (118)#CC (115)#PH (10)
34,BART,NEON,27,2014-05-08,2022-10-18,373,DF,DF (234)#MF (128)#EF (11)
29,TREE,NEON,23,2015-09-12,2022-06-21,238,DF,DF (145)#MF (79)#WW (11)#EF (3)
22,UKFS,NEON,24,2016-03-23,2022-11-01,326,DF,DF (268)#EF (55)#GH (3)
41,DELA,NEON,26,2016-03-09,2022-11-27,332,DF,DF (294)#WW (34)#EF (4)
19,SCBI,NEON,27,2014-06-06,2022-09-26,410,DF,DF (402)#PH (8)
53,MLBS,NEON,23,2017-08-14,2022-10-04,214,DF,DF (214)
52,LENO,NEON,23,2016-06-08,2022-12-03,307,DF,DF (193)#WW (114)
14,ORNL,NEON,31,2014-06-04,2022-10-25,437,DF,DF (416)#EF (12)#PH (9)
20,SERC,NEON,25,2015-04-19,2022-10-03,362,DF,DF (356)#CC (6)
21,SJER,NEON,23,2016-11-01,2022-11-24,342,EF,EF (207)#DF (101)#GH (30)#SS (4)
12,WREF,NEON,27,2018-04-26,2022-08-23,176,EF,EF (176)
15,OSBS,NEON,34,2013-04-17,2022-08-10,474,EF,EF (435)#WW (22)#DF (7)#MF (6)#EHW (4)
55,GUAN,NEON,24,2015-07-28,2022-12-29,518,EF,EF (518)
32,YELL,NEON,17,2018-07-30,2021-09-22,83,EF,EF (72)#SS (10)#GH (1)
31,ABBY,NEON,18,2016-08-25,2022-07-05,211,EF,EF (139)#GH (68)#SS (3)#MF (1)
16,PUUM,NEON,23,2018-06-12,2022-11-01,320,EF,EF (320)
28,TEAK,NEON,20,2019-06-13,2022-09-27,92,EF,EF (91)#SS (1)
27,TALL,NEON,23,2014-05-16,2022-10-12,411,EF,EF (390)#DF (12)#MF (9)
40,DEJU,NEON,23,2016-07-06,2022-09-12,170,EF,EF (160)#SS (8)#WW (2)
47,JERC,NEON,26,2013-06-11,2022-08-04,378,EF,EF (364)#DF (7)#MF (4)#CC (3)
18,RMNP,NEON,25,2017-08-04,2022-10-25,197,EF,EF (82)#DF (58)#MF (57)
30,SOAP,NEON,23,2018-04-10,2022-11-01,152,EF,EF (150)#SS (2)
33,BARR,NEON,23,2017-07-17,2022-08-22,79,EHW,EHW (64)#SH (15)
50,KONZ,NEON,24,2016-03-16,2022-10-27,352,GH,GH (348)#DF (4)
43,NOGP,NEON,23,2016-05-10,2022-10-17,274,GH,GH (274)
56,NIWO,NEON,24,2015-07-14,2022-09-19,201,GH,GH (188)#EF (13)
39,DCFS,NEON,23,2017-06-19,2022-10-19,247,GH,GH (247)
38,CPER,NEON,23,2014-03-26,2022-10-26,451,GH,GH (451)
13,WOOD,NEON,27,2014-05-08,2022-10-19,372,GH,GH (361)#EHW (11)
45,HARV,NEON,21,2014-05-01,2022-10-24,378,MF,MF (244)#EF (126)#DF (6)#WW (2)
17,UNDE,NEON,27,2014-05-20,2022-07-12,286,MF,MF (105)#WW (100)#DF (81)
51,LAJA,NEON,4,2016-04-15,2022-12-29,456,PH,PH (455)#EF (1)
42,DSNY,NEON,24,2013-02-11,2022-09-21,488,PH,PH (452)#WW (36)
10,TOOL,NEON,7,2017-07-10,2022-08-15,113,SH,SH (111)#SS (2)
46,HEAL,NEON,16,2021-07-15,2021-07-22,16,SS,SS (15)#EF (1)
24,SRER,NEON,23,2016-04-27,2022-10-24,339,SS,SS (339)
48,JORN,NEON,23,2015-06-10,2022-11-01,335,SS,SS (335)
23,OAES,NEON,20,2016-03-21,2022-11-15,323,SS,SS (213)#GH (110)
11,ONAQ,NEON,23,2014-05-22,2022-09-13,350,SS,SS (337)#EF (13)
54,MOAB,NEON,23,2015-05-13,2022-11-01,314,SS,SS (311)#EF (3)
